                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8905,                  3.057,                 3.3456,                      0,                      0,                      0,                      0,                 5.4287,                 3.1079,                 3.0478,                      0,                      0,                      0
                      2,                 3.6438,                 3.0412,                 3.1151,                      0,                      0,                      0,                      0,                  5.397,                 3.1069,                 3.0873,               1.34e-05,               1.34e-05,               1.34e-05
                      3,                 3.3747,                 3.2517,                 2.5012,                      0,                      0,                      0,                      0,                 5.3715,                 3.1015,                 3.0808,               1.36e-05,               1.36e-05,               1.36e-05
